Production date,Origin and Destination country,Project Name,Amount
2007年06月,South Korea:Philippines,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 209 600,00"
2007年06月,South Korea:Singapore,<Submitted Budget(Dec)> FY2022_Plan (Annual),"635 000,00"
2007年06月,South Korea:Taiwan,<Submitted Budget(Dec)> FY2023_Plan (Annual),"4 502 600,00"
2007年06月,South Korea:Thailand,<Final Budget(Dec)> FY2020_Final Budget (Annual),"746 640,00"
2007年06月,South Korea:Vietnam,<Final Budget(Dec)> FY2021_Final Budget (Annual),"508 000,00"
2007年06月,Spain:Algeria,<Final Budget(Dec)> FY2022_Plan (Annual),"3 376 950,00"
2007年06月,Spain:Belgium,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"559 980,00"
2007年06月,Spain:Brazil,<Final Budget(Apr)> FY2020_Final Budget (Annual),"5 250 000,00"
2007年06月,Spain:Bulgaria,<Final Budget(Apr)> FY2021_Final Budget (Annual),"2 517 200,00"
2007年06月,Spain:Colombia,<Final Budget(Apr)> FY2022_Plan (Annual),"504 900,00"
2007年06月,Spain:Cote d Ivoire,<Final Budget(Apr)> FY2023_Plan (Annual),"5 292 000,00"
2007年06月,Spain:Czech Republic,<Actual> May (QTD) (FY2020),"2 537 338,00"
2007年06月,Spain:France,<Actual> June (QTD) (FY2020),"508 939,00"
2007年06月,Spain:Germany,<Actual> July (QTD) (FY2020),"1 828 300,00"
2007年06月,Spain:Egypt,<Actual> August (QTD) (FY2020),"356 730,00"
2007年06月,Spain:Hungary,<Actual> September (QTD) (FY2020),"1 419 964,00"
2007年06月,Spain:Ireland,<Actual> October (QTD) (FY2020),"112 612,00"
2007年06月,Spain:Italy,<Actual> November (QTD) (FY2020),0
2007年06月,Spain:Malta,<Actual> December (QTD) (FY2020),"1 828 300,00"
2007年06月,Spain:Morocco,<Actual> January (QTD) (FY2020),"356 730,00"
2007年06月,Spain:Netherlands,<Actual> February (QTD) (FY2020),"1 419 964,00"
2007年06月,Spain:Poland,<Actual> March (QTD) (FY2020),"112 612,00"
2007年06月,Spain:Portugal,<Actual> April (QTD) (FY2021),"563 060,00"
2007年06月,Spain:Philippines,<Actual> May (QTD) (FY2021),0
2007年06月,Spain:Russia,<Actual> June (QTD) (FY2021),0
2007年06月,Spain:Romania,<Actual> July (QTD) (FY2021),0
2007年06月,Spain:Saudi Arabia,<Actual> August (QTD) (FY2021),0
2007年06月,Spain:Sweden,<Actual> September (QTD) (FY2021),"992 930,00"
2007年06月,Spain:Slovakia,<Actual> October (QTD) (FY2021),"1 588 689,00"
2007年06月,Spain:Switzerland,<Actual> November (QTD) (FY2021),"500 764,00"
2007年06月,Spain:Taiwan,<Actual> December (QTD) (FY2021),"7 419,00"
2007年06月,Spain (Customs):Algeria,<Actual> January (QTD) (FY2021),"274 480,00"
2007年06月,Spain:Vietnam,<Actual>February (QTD) (FY2021),"827 435,00"
2007年06月,Spain:Thailand,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"343 100,00"
2007年06月,Spain:United States,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"827 435,00"
2007年06月,Spain (Customs):Belgium,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),0
2007年06月,Spain (Customs):Brazil,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"716 280,00"
2007年06月,Spain (Customs):Colombia,<Submitted Budget(Dec)> FY2022_Plan (Annual),"1 477 680,00"
2007年06月,Spain (Customs):Cote d Ivoire,<Submitted Budget(Dec)> FY2023_Plan (Annual),"343 100,00"
2007年06月,Spain (Customs):Czech Republic,<Final Budget(Dec)> FY2020_Final Budget (Annual),"716 280,00"
2007年06月,Spain (Customs):Egypt,<Final Budget(Dec)> FY2021_Final Budget (Annual),"1 477 680,00"
2007年06月,Spain (Customs):France,<Final Budget(Dec)> FY2022_Plan (Annual),"422 530,00"
2007年06月,Spain (Customs):Italy,<Final Budget(2020 Dec)> FY2023_Plan (Annual),0
2007年06月,Spain (Customs):Hungary,<Final Budget(Apr)> FY2020_Final Budget (Annual),"422 530,00"
2007年06月,Spain (Customs):Ireland,<Final Budget(Apr)> FY2021_Final Budget (Annual),"1 250 200,00"
2007年06月,Spain (Customs):Morocco,<Final Budget(Apr)> FY2022_Plan (Annual),"3 863 555,00"
2007年06月,Spain (Customs):Malta,<Final Budget(Apr)> FY2023_Plan (Annual),"1 201 692,00"
2007年06月,Spain (Customs):Netherlands,<Actual> May (QTD) (FY2020),"3 798 893,00"
2007年06月,Spain (Customs):Portugal,<Actual> June (QTD) (FY2020),"1 181 580,00"
2007年06月,Spain (Customs):Philippines,<Actual> July (QTD) (FY2020),"896 465,00"
2007年06月,Spain (Customs):Saudi Arabia,<Actual> August (QTD) (FY2020),0
2007年06月,Spain (Customs):Russia,<Actual> September (QTD) (FY2020),"928 158,00"
2007年06月,Spain (Customs):Sweden,<Actual> October (QTD) (FY2020),"911 988,00"
2007年06月,Spain (Customs):Switzerland,<Actual> November (QTD) (FY2020),0
2007年06月,Spain (Customs):Taiwan,<Actual> December (QTD) (FY2020),"944 230,00"
2007年06月,Sweden:Denmark,<Actual> January (QTD) (FY2020),"243 930,00"
2007年06月,Spain (Customs):United States,<Actual> February (QTD) (FY2020),"3 988 420,00"
2007年06月,Spain (Customs):Vietnam,<Actual> March (QTD) (FY2020),"4 878 600,00"
2007年06月,Sweden:Brazil,<Actual> April (QTD) (FY2021),"3 988 420,00"
2007年06月,Spain (Customs):Thailand,<Actual> May (QTD) (FY2021),0
2007年06月,Sweden:United Kingdom,<Actual> June (QTD) (FY2021),"239 316,00"
2007年06月,Sweden:United States,<Actual> July (QTD) (FY2021),0
2007年06月,Switzerland:France,<Actual> August (QTD) (FY2021),"259 000,00"
2007年06月,Switzerland:Austria,<Actual> September (QTD) (FY2021),"29 028 384,00"
2007年06月,Sweden:Norway,<Actual> October (QTD) (FY2021),"931 170,00"
2007年06月,Sweden:Finland,<Actual> November (QTD) (FY2021),"32 443 488,00"
2007年06月,Switzerland:Germany,<Actual> December (QTD) (FY2021),"931 170,00"
2007年06月,Taiwan:China,<Actual> January (QTD) (FY2021),"3 695 076,00"
2007年06月,Taiwan:Ireland,<Actual>February (QTD) (FY2021),"3 759 060,00"
2007年06月,Taiwan:India,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"662 124,00"
2007年06月,Taiwan:Israel,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"2 726 880,00"
2007年06月,Taiwan:Japan,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"2 815 016,00"
2007年06月,Taiwan:Malaysia,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"3 679 080,00"
2007年06月,Taiwan:Netherlands,<Submitted Budget(Dec)> FY2022_Plan (Annual),"613 594,00"
2007年06月,Taiwan:Singapore,<Submitted Budget(Dec)> FY2023_Plan (Annual),"665 003,00"
2007年06月,Taiwan:Philippines,<Final Budget(Dec)> FY2020_Final Budget (Annual),"2 738 736,00"
2007年06月,Taiwan:Thailand,<Final Budget(Dec)> FY2021_Final Budget (Annual),"2 827 255,00"
2007年06月,Taiwan:United States,<Final Budget(Dec)> FY2022_Plan (Annual),"3 695 076,00"
2007年06月,Taiwan:Vietnam,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"616 262,00"
2007年06月,Thailand:Argentina,<Final Budget(Apr)> FY2020_Final Budget (Annual),"487 600,00"
2007年06月,Thailand:Cambodia,<Final Budget(Apr)> FY2021_Final Budget (Annual),"4 892 192,00"
2007年06月,Thailand:Australia,<Final Budget(Apr)> FY2022_Plan (Annual),"12 667 572,00"
2007年06月,Thailand:Japan,<Final Budget(Apr)> FY2023_Plan (Annual),"3 256 800,00"
2007年06月,Thailand:Hong Kong,<Actual> May (QTD) (FY2020),"873 485,00"
2007年06月,Thailand:Malaysia,<Actual> June (QTD) (FY2020),"245 438,00"
2007年06月,Thailand:Laos,<Actual> July (QTD) (FY2020),"505 908,00"
2007年06月,Thailand (HS 10):Laos,<Actual> August (QTD) (FY2020),"259 440,00"
2007年06月,Thailand (HS 10):Malaysia,<Actual> September (QTD) (FY2020),"5 527 360,00"
2007年06月,Thailand (HS 10):Japan,<Actual> October (QTD) (FY2020),"5 527 360,00"
2007年06月,Thailand (HS 10):Hong Kong,<Actual> November (QTD) (FY2020),"723 341,00"
2007年06月,Thailand (HS 10):Cambodia,<Actual> December (QTD) (FY2020),"87 308,00"
2007年06月,Thailand (HS 10):Australia,<Actual> January (QTD) (FY2020),"2 674 624,00"
2007年06月,Thailand (HS 10):Argentina,<Actual> February (QTD) (FY2020),"489 720,00"
2007年06月,Thailand:Philippines,<Actual> March (QTD) (FY2020),"4 913 462,00"
2007年06月,Thailand:Vietnam,<Actual> April (QTD) (FY2021),"12 722 648,00"
2007年06月,Thailand (HS 10):Philippines,<Actual> May (QTD) (FY2021),"3 270 960,00"
2007年06月,Turkey:Algeria,<Actual> June (QTD) (FY2021),"877 283,00"
2007年06月,Thailand (HS 10):Vietnam,<Actual> July (QTD) (FY2021),"246 505,00"
2007年06月,Turkey:Azerbaijan,<Actual> August (QTD) (FY2021),"508 108,00"
2007年06月,Turkey (HS 8):Algeria,<Actual> September (QTD) (FY2021),"260 568,00"
2007年06月,Turkey (HS 8):Azerbaijan,<Actual> October (QTD) (FY2021),"5 551 392,00"
2007年06月,United Kingdom HMRC:Belgium,<Actual> November (QTD) (FY2021),"5 551 392,00"
2007年06月,United Kingdom HMRC:Croatia,<Actual> December (QTD) (FY2021),"726 486,00"
2007年06月,United Kingdom HMRC:Cyprus,<Actual> January (QTD) (FY2021),"87 688,00"
2007年06月,United Kingdom HMRC:Bulgaria,<Actual>February (QTD) (FY2021),"2 686 253,00"
2007年06月,United Kingdom HMRC:Germany,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"7 363 680,00"
2007年06月,United Kingdom HMRC:France,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"7 395 696,00"
2007年06月,United Kingdom HMRC:Estonia,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"2 189 880,00"
2007年06月,United Kingdom HMRC:Ireland,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"2 227 800,00"
2007年06月,United Kingdom HMRC:Hong Kong,<Submitted Budget(Dec)> FY2022_Plan (Annual),"3 742 200,00"
2007年06月,United Kingdom HMRC:Israel,<Submitted Budget(Dec)> FY2023_Plan (Annual),"3 807 000,00"
2007年06月,United Kingdom HMRC:Sweden,<Final Budget(Dec)> FY2020_Final Budget (Annual),"132 539,00"
2007年06月,United Kingdom HMRC:Spain,<Final Budget(Dec)> FY2021_Final Budget (Annual),"144 588,00"
2007年06月,United Kingdom HMRC:Poland,<Final Budget(Dec)> FY2022_Plan (Annual),"120 490,00"
2007年06月,United Kingdom HMRC:Slovakia,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"132 539,00"
2007年06月,United Kingdom HMRC:Portugal,<Final Budget(Apr)> FY2020_Final Budget (Annual),"1 459 920,00"
2007年06月,United Kingdom HMRC:Netherlands,<Final Budget(Apr)> FY2021_Final Budget (Annual),"686 393,00"
2007年06月,United States:Bahamas,<Final Budget(Apr)> FY2022_Plan (Annual),"1 459 920,00"
2007年06月,United Kingdom HMRC:United States,<Final Budget(Apr)> FY2023_Plan (Annual),"690 228,00"
2007年06月,United Kingdom HMRC:Switzerland,<Actual> May (QTD) (FY2020),"236 440,00"
2007年06月,United States:Canada,<Actual> June (QTD) (FY2020),"226 320,00"
2007年06月,United States:Colombia,<Actual> July (QTD) (FY2020),"3 524 917,00"
2007年06月,United States:India,<Actual> August (QTD) (FY2020),"643 080,00"
2007年06月,United States:Germany,<Actual> September (QTD) (FY2020),"15 614 240,00"
2007年06月,United States:El Salvador,<Actual> October (QTD) (FY2020),"237 468,00"
2007年06月,United States:Japan,<Actual> November (QTD) (FY2020),"227 304,00"
2007年06月,"United States:Korea, South",<Actual> December (QTD) (FY2020),"3 540 243,00"
2007年06月,United States:Israel,<Actual> January (QTD) (FY2020),"645 876,00"
2007年06月,United States:Singapore,<Actual> February (QTD) (FY2020),"15 682 128,00"
2007年06月,United States:Saudi Arabia,<Actual> March (QTD) (FY2020),"2 312 880,00"
2007年06月,United States:Mexico,<Actual> April (QTD) (FY2021),"2 322 936,00"
2007年06月,United States (CIF):Bahamas,<Actual> May (QTD) (FY2021),"1 796 760,00"
2007年06月,United States:Trinidad & Tobago,<Actual> June (QTD) (FY2021),"7 770 470,00"
2007年06月,United States (CIF):Canada,<Actual> July (QTD) (FY2021),"7 736 832,00"
2007年06月,United States (CIF):Japan,<Actual> August (QTD) (FY2021),"1 804 572,00"
2007年06月,United States (CIF):India,<Actual> September (QTD) (FY2021),"4 225 284,00"
2007年06月,United States (CIF):Israel,<Actual> October (QTD) (FY2021),"4 243 655,00"
2007年06月,United States (CIF):Germany,<Actual> November (QTD) (FY2021),"5 633 712,00"
2007年06月,United States (CIF):Colombia,<Actual> December (QTD) (FY2021),"5 658 206,00"
2007年06月,United States (CIF):El Salvador,<Actual> January (QTD) (FY2021),"2 864 880,00"
2007年06月,United States (CIF):Singapore,<Actual>February (QTD) (FY2021),"1 947 272,00"
2007年06月,United States (CIF):Saudi Arabia,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"2 877 336,00"
2007年06月,"United States (CIF):Korea, South",<Submitted Budget(Dec)> FY2020_Prospect (Annual),"1 955 738,00"
2007年06月,United States (CIF):Mexico,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"1 432 440,00"
2007年06月,United States (CIF):Trinidad & Tobago,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 438 668,00"
2007年06月,United States (Consumption/Domestic):Bahamas,<Submitted Budget(Dec)> FY2022_Plan (Annual),"1 432 440,00"
2007年06月,United States (Consumption/Domestic):Canada,<Submitted Budget(Dec)> FY2023_Plan (Annual),"1 438 668,00"
2007年06月,United States (Consumption/Domestic):Germany,<Final Budget(Dec)> FY2020_Final Budget (Annual),"1 909 920,00"
2007年06月,United States (Consumption/Domestic):El Salvador,<Final Budget(Dec)> FY2021_Final Budget (Annual),"1 918 224,00"
2007年06月,United States (Consumption/Domestic):Colombia,<Final Budget(Dec)> FY2022_Plan (Annual),"536 327,00"
2007年06月,United States (Consumption/Domestic):India,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"612 945,00"
2007年06月,United States (Consumption/Domestic):Israel,<Final Budget(Apr)> FY2020_Final Budget (Annual),"485 248,00"
2007年06月,United States (Consumption/Domestic):Japan,<Final Budget(Apr)> FY2021_Final Budget (Annual),"536 327,00"
2007年06月,"United States (Consumption/Domestic):Korea, South",<Final Budget(Apr)> FY2022_Plan (Annual),"12 818 169,00"
2007年06月,United States (Consumption/Domestic):Mexico,<Final Budget(Apr)> FY2023_Plan (Annual),"12 818 169,00"
2007年06月,United States (Consumption/Domestic):Saudi Arabia,<Actual> May (QTD) (FY2020),0
2007年06月,United States (Consumption/Domestic):Trinidad & Tobago,<Actual> June (QTD) (FY2020),"20,04"
2007年06月,United States (Consumption/Domestic):Singapore,<Actual> July (QTD) (FY2020),0
2007年06月,United States (HS 8):Bahamas,<Actual> August (QTD) (FY2020),0
2007年06月,United States (HS 8):Canada,<Actual> September (QTD) (FY2020),"16,08"
2007年06月,United States (HS 8):Colombia,<Actual> October (QTD) (FY2020),"4,08"
2007年06月,United States (HS 8):India,<Actual> November (QTD) (FY2020),"413 540,00"
2007年06月,United States (HS 8):Israel,<Actual> December (QTD) (FY2020),"422 530,00"
2007年06月,United States (HS 8):El Salvador,<Actual> January (QTD) (FY2020),"3 169 584,00"
2007年06月,United States (HS 8):Germany,<Actual> February (QTD) (FY2020),"3 238 488,00"
2007年06月,"United States (HS 8):Korea, South",<Actual> March (QTD) (FY2020),"160 080,00"
2007年06月,United States (HS 8):Japan,<Actual> April (QTD) (FY2021),"969 496,00"
2007年06月,United States (HS 8):Mexico,<Actual> May (QTD) (FY2021),"288 880,00"
2007年06月,United States (HS 8):Saudi Arabia,<Actual> June (QTD) (FY2021),"234 140,00"
2007年06月,United States (HS 8):Singapore,<Actual> July (QTD) (FY2021),"401 120,00"
2007年06月,Uruguay:Punta Pereira (Uruguay),<Actual> August (QTD) (FY2021),"14 398,00"
2007年06月,United States (HS 8):Trinidad & Tobago,<Actual> September (QTD) (FY2021),"17 204,00"
2007年06月,Uruguay:Rio Negro (Uruguay),<Actual> October (QTD) (FY2021),"135 231,00"
2007年06月,Vietnam (BOL):Laos,<Actual> November (QTD) (FY2021),"163 560,00"
2007年06月,Vietnam (BOL):Cambodia,<Actual> December (QTD) (FY2021),"990 572,00"
2007年06月,Uruguay:Rio Negro (Uruguay),<Actual> January (QTD) (FY2021),"295 160,00"
2007年06月,United States (HS 8):United Kingdom,<Actual>February (QTD) (FY2021),"239 230,00"
2007年06月,Uruguay:Punta Pereira (Uruguay),<Submitted Budget(Dec)> FY2019_Prospect (Annual),"409 840,00"
2007年06月,United States (HS 8):Singapore,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"14 711,00"
2007年06月,United States (HS 8):Saudi Arabia,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"17 578,00"
2007年06月,United States (HS 8):Suriname,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"138 171,00"
2007年06月,United States (HS 8):Mexico,<Submitted Budget(Dec)> FY2022_Plan (Annual),"5 023 752,00"
2007年06月,United States (HS 8):Nigeria,<Submitted Budget(Dec)> FY2023_Plan (Annual),"5 132 964,00"
2007年06月,"United States (HS 8):Korea, South",<Final Budget(Dec)> FY2020_Final Budget (Annual),"8 826,00"
2007年06月,United States (HS 8):Germany,<Final Budget(Dec)> FY2021_Final Budget (Annual),"8 902,00"
2007年06月,United States (HS 8):Israel,<Final Budget(Dec)> FY2022_Plan (Annual),"72 220,00"
2007年06月,United States (HS 8):Czech Republic,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"14 398,00"
2007年06月,United States (HS 8):Ecuador,<Final Budget(Apr)> FY2020_Final Budget (Annual),"1 009 038,00"
2007年06月,United States (HS 8):China,<Final Budget(Apr)> FY2021_Final Budget (Annual),"4 722 360,00"
2007年06月,United States (HS 8):Cayman Islands,<Final Budget(Apr)> FY2022_Plan (Annual),"93 656,00"
2007年06月,United States (HS 8):Canada,<Final Budget(Apr)> FY2023_Plan (Annual),"68 080,00"
2007年06月,United States (HS 8):Bahamas,<Actual> May (QTD) (FY2020),"13 312,00"
2007年06月,United States (HS 8):Australia,<Actual> June (QTD) (FY2020),"976 488,00"
2007年06月,United States (Consumption/Domestic):Singapore,<Actual> July (QTD) (FY2020),"4 858 060,00"
2007年06月,United States (Consumption/Domestic):Suriname,<Actual> August (QTD) (FY2020),"81 696,00"
2007年06月,United States (Consumption/Domestic):United Kingdom,<Actual> September (QTD) (FY2020),"67 160,00"
2007年06月,United States (Consumption/Domestic):Saudi Arabia,<Actual> October (QTD) (FY2020),"802 240,00"
2007年06月,United States (Consumption/Domestic):Nigeria,<Actual> November (QTD) (FY2020),"71 540,00"
2007年06月,United States (Consumption/Domestic):Mexico,<Actual> December (QTD) (FY2020),"854 560,00"
2007年06月,"United States (Consumption/Domestic):Korea, South",<Actual> January (QTD) (FY2020),"706 961,00"
2007年06月,United States (Consumption/Domestic):Israel,<Actual> February (QTD) (FY2020),"1 489 020,00"
2007年06月,United States (Consumption/Domestic):Czech Republic,<Actual> March (QTD) (FY2020),"917 280,00"
2007年06月,United States (Consumption/Domestic):China,<Actual> April (QTD) (FY2021),"2 165 680,00"
2007年06月,United States (Consumption/Domestic):Cayman Islands,<Actual> May (QTD) (FY2021),"13 982 160,00"
2007年06月,United States (Consumption/Domestic):Ecuador,<Actual> June (QTD) (FY2021),"706 961,00"
2007年06月,United States (Consumption/Domestic):Germany,<Actual> July (QTD) (FY2021),"1 489 020,00"
2007年06月,United States (Consumption/Domestic):Canada,<Actual> August (QTD) (FY2021),"917 280,00"
2007年06月,United States (Consumption/Domestic):Bahamas,<Actual> September (QTD) (FY2021),"2 165 680,00"
2007年06月,United States (CIF):United Kingdom,<Actual> October (QTD) (FY2021),"12 806 400,00"
2007年06月,United States (Consumption/Domestic):Australia,<Actual> November (QTD) (FY2021),"729 965,00"
2007年06月,United States (CIF):Suriname,<Actual> December (QTD) (FY2021),"454 664,00"
2007年06月,United States (CIF):Mexico,<Actual> January (QTD) (FY2021),"729 965,00"
2007年06月,"United States (CIF):Korea, South",<Actual>February (QTD) (FY2021),"454 664,00"
2007年06月,United States (CIF):Saudi Arabia,<Submitted Budget(Dec)> FY2019_Prospect (Annual),0
2007年06月,United States (CIF):Singapore,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"9 758 900,00"
2007年06月,United States (CIF):Nigeria,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"2 679 592,00"
2007年06月,United States (CIF):Ecuador,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"9 758 900,00"
2007年06月,United States (CIF):Czech Republic,<Submitted Budget(Dec)> FY2022_Plan (Annual),"319 151,00"
2007年06月,United States (CIF):Germany,<Submitted Budget(Dec)> FY2023_Plan (Annual),"316 645,00"
2007年06月,United States (CIF):Israel,<Final Budget(Dec)> FY2020_Final Budget (Annual),"1 057 350,00"
2007年06月,United States (CIF):Canada,<Final Budget(Dec)> FY2021_Final Budget (Annual),"734 215,00"
2007年06月,United States (CIF):China,<Final Budget(Dec)> FY2022_Plan (Annual),"1 048 950,00"
2007年06月,United States (CIF):Cayman Islands,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"734 215,00"
2007年06月,United States:United Kingdom,<Final Budget(Apr)> FY2020_Final Budget (Annual),"855 000,00"
2007年06月,United States (CIF):Bahamas,<Final Budget(Apr)> FY2021_Final Budget (Annual),"1 225 500,00"
2007年06月,United States (CIF):Australia,<Final Budget(Apr)> FY2022_Plan (Annual),"855 000,00"
2007年06月,United States:Mexico,<Final Budget(Apr)> FY2023_Plan (Annual),"1 225 500,00"
2007年06月,United States:Nigeria,<Actual> May (QTD) (FY2020),"1 890 302,00"
2007年06月,United States:Saudi Arabia,<Actual> June (QTD) (FY2020),"103 212,00"
2007年06月,United States:Singapore,<Actual> July (QTD) (FY2020),0
2007年06月,United States:Suriname,<Actual> August (QTD) (FY2020),"1 890 302,00"
2007年06月,United States:Israel,<Actual> September (QTD) (FY2020),"103 212,00"
2007年06月,"United States:Korea, South",<Actual> October (QTD) (FY2020),"118 064,00"
2007年06月,United States:Ecuador,<Actual> November (QTD) (FY2020),"638 464,00"
2007年06月,United States:Germany,<Actual> December (QTD) (FY2020),"360 992,00"
2007年06月,United States:Czech Republic,<Actual> January (QTD) (FY2020),"244 881,00"
2007年06月,United States:China,<Actual> February (QTD) (FY2020),"50 335,00"
2007年06月,United States:Cayman Islands,<Actual> March (QTD) (FY2020),"62 083,00"
2007年06月,United States:Canada,<Actual> April (QTD) (FY2021),"1 074 624,00"
2007年06月,United States:Australia,<Actual> May (QTD) (FY2021),"37 914,00"
2007年06月,United States:Bahamas,<Actual> June (QTD) (FY2021),"117 059,00"
2007年06月,United Kingdom HMRC:Italy,<Actual> July (QTD) (FY2021),"638 464,00"
2007年06月,United Kingdom HMRC:Portugal,<Actual> August (QTD) (FY2021),"360 992,00"
2007年06月,United Kingdom HMRC:Sweden,<Actual> September (QTD) (FY2021),"244 881,00"
2007年06月,United Kingdom HMRC:Israel,<Actual> October (QTD) (FY2021),"50 335,00"
2007年06月,United Kingdom HMRC:Ireland,<Actual> November (QTD) (FY2021),"62 083,00"
2007年06月,United Kingdom HMRC:France,<Actual> December (QTD) (FY2021),"1 074 624,00"
2007年06月,United Kingdom HMRC:Germany,<Actual> January (QTD) (FY2021),"63 190,00"
2007年06月,United Kingdom HMRC:Belgium,<Actual>February (QTD) (FY2021),"117 059,00"
2007年06月,Turkey (HS 8):Greece,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"51 324,00"
2007年06月,Turkey:Greece,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"95 786,00"
2007年06月,Thailand (HS 10):Vietnam,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"799 902,00"
2007年06月,Thailand (HS 10):Philippines,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"46 455,00"
2007年06月,Thailand:Vietnam,<Submitted Budget(Dec)> FY2022_Plan (Annual),"82 344,00"
2007年06月,Thailand:Philippines,<Submitted Budget(Dec)> FY2023_Plan (Annual),"66 157,00"
2007年06月,Thailand (HS 10):Australia,<Final Budget(Dec)> FY2020_Final Budget (Annual),"9 062,00"
2007年06月,Thailand (HS 10):Cambodia,<Final Budget(Dec)> FY2021_Final Budget (Annual),"309 749,00"
2007年06月,Thailand (HS 10):Hong Kong,<Final Budget(Dec)> FY2022_Plan (Annual),"51 324,00"
2007年06月,Thailand (HS 10):Japan,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"95 786,00"
2007年06月,Thailand (HS 10):Indonesia,<Final Budget(Apr)> FY2020_Final Budget (Annual),"799 902,00"
2007年06月,Thailand (HS 10):Laos,<Final Budget(Apr)> FY2021_Final Budget (Annual),"46 455,00"
2007年06月,Thailand (HS 10):Malaysia,<Final Budget(Apr)> FY2022_Plan (Annual),"82 344,00"
2007年06月,Thailand (HS 10):Myanmar,<Final Budget(Apr)> FY2023_Plan (Annual),"66 157,00"
2007年06月,Thailand:Laos,<Actual> May (QTD) (FY2020),"9 062,00"
2007年06月,Thailand:Malaysia,<Actual> June (QTD) (FY2020),"309 749,00"
2007年06月,Thailand:Myanmar,<Actual> July (QTD) (FY2020),"3 898 368,00"
2007年06月,Thailand:Hong Kong,<Actual> August (QTD) (FY2020),"963 763,00"
2007年06月,Thailand:Indonesia,<Actual> September (QTD) (FY2020),"281 718,00"
2007年06月,Thailand:Japan,<Actual> October (QTD) (FY2020),"3 898 368,00"
2007年06月,Thailand:Cambodia,<Actual> November (QTD) (FY2020),"963 763,00"
2007年06月,Thailand:Australia,<Actual> December (QTD) (FY2020),"281 718,00"
2007年06月,Taiwan:Vietnam,<Actual> January (QTD) (FY2020),"25 662,00"
2007年06月,Taiwan:United States,<Actual> February (QTD) (FY2020),"72 718,00"
2007年06月,Taiwan:Thailand,<Actual> March (QTD) (FY2020),"162 592,00"
2007年06月,Taiwan:Philippines,<Actual> April (QTD) (FY2021),"117 613,00"
2007年06月,Taiwan:Singapore,<Actual> May (QTD) (FY2021),"18 123,00"
2007年06月,Taiwan:Netherlands,<Actual> June (QTD) (FY2021),"154 874,00"
2007年06月,Taiwan:Malaysia,<Actual> July (QTD) (FY2021),"22 193,00"
2007年06月,"Taiwan:Korea, South",<Actual> August (QTD) (FY2021),"25 662,00"
2007年06月,Taiwan:Japan,<Actual> September (QTD) (FY2021),"72 718,00"
2007年06月,Taiwan:Israel,<Actual> October (QTD) (FY2021),"162 592,00"
2007年06月,Taiwan:Ireland,<Actual> November (QTD) (FY2021),"117 613,00"
2007年06月,Taiwan:China,<Actual> December (QTD) (FY2021),"18 123,00"
2007年06月,Switzerland:Germany,<Actual> January (QTD) (FY2021),"154 874,00"
2007年06月,Switzerland:United States,<Actual>February (QTD) (FY2021),"22 193,00"
2007年06月,Sweden:Morocco,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"46 455,00"
2007年06月,Sweden:Norway,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"46 455,00"
2007年06月,Switzerland:France,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"1 371 084,00"
2007年06月,Switzerland:Austria,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"9 725 616,00"
2007年06月,Spain (Customs):Thailand,<Submitted Budget(Dec)> FY2022_Plan (Annual),"2 664 336,00"
